Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","07/31/2024","3571","N360FR","SJU","05:59","05:52","263","273","-7","06:12","20","0","0","0","0","0"
"F9","07/31/2024","3573","N395FR","SJU","11:08","11:04","239","240","-4","11:22","18","0","0","0","0","0"
"F9","08/01/2024","3571","N389FR","SJU","05:59","05:51","263","255","-8","06:14","23","0","0","0","0","0"
"F9","08/02/2024","3571","N389FR","SJU","05:59","05:58","263","272","-1","06:19","21","0","0","0","0","0"
"F9","08/02/2024","3573","N359FR","SJU","11:08","12:26","239","291","78","12:50","24","54","0","52","0","24"
"F9","08/03/2024","3571","N346FR","SJU","05:59","05:58","263","258","-1","06:17","19","0","0","0","0","0"
"F9","08/03/2024","3573","N393FR","SJU","11:08","11:30","239","229","22","11:51","21","0","0","0","0","0"
"F9","08/04/2024","3571","N619FR","SJU","05:59","06:07","263","237","8","06:32","25","0","0","0","0","0"
"F9","08/05/2024","3571","N619FR","SJU","05:59","06:02","263","231","3","06:23","21","0","0","0","0","0"
"F9","08/05/2024","3573","N624FR","SJU","11:08","12:47","239","212","99","13:04","17","0","0","0","0","72"
"F9","08/06/2024","3571","N625FR","SJU","05:59","06:04","263","242","5","06:23","19","0","0","0","0","0"
"F9","08/07/2024","3571","N616FR","SJU","05:59","17:39","263","253","700","18:08","29","0","0","0","0","690"
"F9","08/07/2024","3573","N622FR","SJU","11:08","11:13","239","234","5","11:31","18","0","0","0","0","0"
"F9","08/08/2024","3571","N631FR","SJU","05:59","06:47","263","229","48","07:05","18","0","0","0","0","0"
"F9","08/09/2024","3571","N616FR","SJU","05:59","06:07","263","249","8","06:36","29","0","0","0","0","0"
"F9","08/09/2024","3573","N619FR","SJU","11:08","11:10","239","266","2","12:00","50","2","0","27","0","0"
"F9","08/10/2024","3571","N639FR","SJU","05:59","06:01","263","237","2","06:25","24","0","0","0","0","0"
"F9","08/10/2024","3573","N611FR","SJU","11:08","12:16","239","218","68","12:32","16","4","0","0","0","43"
"F9","08/11/2024","3571","N639FR","SJU","05:59","08:37","263","234","158","08:52","15","129","0","0","0","0"
"F9","08/12/2024","3571","N636FR","SJU","05:59","06:13","263","217","14","06:32","19","0","0","0","0","0"
"F9","08/12/2024","3573","N622FR","SJU","11:08","11:04","239","240","-4","11:32","28","0","0","0","0","0"
"F9","08/13/2024","3571","N616FR","SJU","05:59","06:24","263","241","25","06:43","19","0","0","0","0","0"
"F9","08/14/2024","3571","","SJU","05:59","00:00","263","0","0","00:00","0","0","0","0","0","0"
"F9","08/14/2024","3573","","SJU","11:13","00:00","242","0","0","00:00","0","0","0","0","0","0"
"F9","08/15/2024","3571","N624FR","SJU","05:59","05:50","263","237","-9","06:06","16","0","0","0","0","0"
"F9","08/16/2024","3571","N614FR","SJU","05:59","05:58","263","243","-1","06:15","17","0","0","0","0","0"
"F9","08/16/2024","3573","N624FR","SJU","11:13","11:44","242","235","31","12:11","27","8","0","0","0","16"
"F9","08/17/2024","3571","N629FR","SJU","05:59","06:27","263","263","28","06:45","18","0","28","0","0","0"
"F9","08/17/2024","3573","N626FR","SJU","11:13","11:52","242","265","39","12:23","31","22","0","23","0","17"
"F9","08/18/2024","3571","N646FR","SJU","05:59","06:16","263","298","17","07:32","76","17","0","35","0","0"
"F9","08/19/2024","3571","N626FR","SJU","05:59","06:11","263","234","12","06:31","20","0","0","0","0","0"
"F9","08/19/2024","3573","N634FR","SJU","11:13","11:22","242","242","9","11:47","25","0","0","0","0","0"
"F9","08/20/2024","3571","N611FR","SJU","05:59","06:00","263","239","1","06:21","21","0","0","0","0","0"
"F9","08/21/2024","3571","N622FR","SJU","05:59","05:49","263","247","-10","06:09","20","0","0","0","0","0"
"F9","08/21/2024","3573","N649FR","SJU","11:13","11:14","242","245","1","11:41","27","0","0","0","0","0"
"F9","08/22/2024","3571","N611FR","SJU","05:59","05:55","263","236","-4","06:21","26","0","0","0","0","0"
"F9","08/23/2024","3571","","SJU","05:59","00:00","263","0","0","00:00","0","0","0","0","0","0"
"F9","08/23/2024","3573","N622FR","SJU","11:13","13:08","242","231","115","13:29","21","3","0","0","0","101"
"F9","08/24/2024","3571","N621FR","SJU","05:59","11:33","263","232","334","12:00","27","70","0","0","0","233"
"F9","08/24/2024","3573","N649FR","SJU","11:13","11:15","242","230","2","11:35","20","0","0","0","0","0"
"F9","08/25/2024","3571","N636FR","SJU","05:59","08:09","263","240","130","08:33","24","107","0","0","0","0"
"F9","08/26/2024","3571","N636FR","SJU","05:59","06:01","263","231","2","06:28","27","0","0","0","0","0"
"F9","08/26/2024","3573","N644FR","SJU","11:13","11:04","242","241","-9","11:25","21","0","0","0","0","0"
"F9","08/27/2024","3571","N621FR","SJU","05:59","05:50","263","220","-9","06:08","18","0","0","0","0","0"
"F9","08/28/2024","3571","N642FR","SJU","05:59","05:52","263","242","-7","06:20","28","0","0","0","0","0"
"F9","08/28/2024","3573","N636FR","SJU","11:13","11:13","242","236","0","11:32","19","0","0","0","0","0"
"F9","08/29/2024","3571","N642FR","SJU","05:59","05:55","263","252","-4","06:29","34","0","0","0","0","0"
"F9","08/30/2024","3571","N603FR","SJU","05:59","05:52","263","237","-7","06:17","25","0","0","0","0","0"
"F9","08/30/2024","3573","N611FR","SJU","11:13","11:02","242","252","-11","11:26","24","0","0","0","0","0"
"F9","08/31/2024","3571","N640FR","SJU","05:59","05:53","263","226","-6","06:16","23","0","0","0","0","0"
"F9","08/31/2024","3573","N652FR","SJU","11:13","11:29","242","258","16","11:49","20","16","0","16","0","0"
"F9","09/01/2024","3571","N611FR","SJU","05:59","05:45","263","234","-14","06:11","26","0","0","0","0","0"
"F9","09/02/2024","3571","N642FR","SJU","05:59","05:49","263","264","-10","06:29","40","0","0","0","0","0"
"F9","09/02/2024","3573","N641FR","SJU","11:13","12:34","242","231","81","12:50","16","70","0","0","0","0"
"F9","09/03/2024","3571","N640FR","SJU","05:59","06:10","263","230","11","06:26","16","0","0","0","0","0"
"F9","09/04/2024","3571","N645FR","SJU","05:59","05:59","263","243","0","06:28","29","0","0","0","0","0"
"F9","09/04/2024","3573","N606FR","SJU","11:13","11:08","242","229","-5","11:32","24","0","0","0","0","0"
"F9","09/05/2024","3571","N645FR","SJU","05:59","05:55","239","240","-4","06:31","36","0","0","0","0","0"
"F9","09/06/2024","3571","N640FR","SJU","05:59","05:57","239","227","-2","06:21","24","0","0","0","0","0"
"F9","09/06/2024","3573","N641FR","SJU","11:13","13:11","239","226","118","13:31","20","105","0","0","0","0"
"F9","09/07/2024","3571","N640FR","SJU","05:59","06:07","239","222","8","06:28","21","0","0","0","0","0"
"F9","09/07/2024","3573","N629FR","SJU","11:13","11:22","239","228","9","11:46","24","0","0","0","0","0"
"F9","09/08/2024","3571","N630FR","SJU","05:59","05:54","239","228","-5","06:20","26","0","0","0","0","0"
"F9","09/09/2024","3571","N631FR","SJU","05:59","06:47","239","229","48","07:05","18","38","0","0","0","0"
"F9","09/09/2024","3573","N612FR","SJU","11:13","11:15","239","227","2","11:37","22","0","0","0","0","0"
"F9","09/10/2024","3571","N639FR","SJU","05:59","06:39","239","223","40","07:01","22","24","0","0","0","0"
"F9","09/11/2024","3571","N639FR","SJU","05:59","05:56","239","234","-3","06:24","28","0","0","0","0","0"
"F9","09/11/2024","3573","N650FR","SJU","11:13","11:02","239","229","-11","11:21","19","0","0","0","0","0"
"F9","09/12/2024","3571","N650FR","SJU","05:59","06:23","239","239","24","06:44","21","24","0","0","0","0"
"F9","09/13/2024","3571","N625FR","SJU","05:59","05:57","239","221","-2","06:22","25","0","0","0","0","0"
"F9","09/13/2024","3573","N638FR","SJU","11:13","10:58","239","230","-15","11:22","24","0","0","0","0","0"
"F9","09/14/2024","3571","N629FR","SJU","05:59","05:58","239","238","-1","06:24","26","0","0","0","0","0"
"F9","09/14/2024","3573","N611FR","SJU","11:13","10:56","239","247","-17","11:17","21","0","0","0","0","0"
"F9","09/15/2024","3571","N630FR","SJU","05:59","05:51","239","235","-8","06:11","20","0","0","0","0","0"
"F9","09/16/2024","3571","N616FR","SJU","05:59","06:22","239","228","23","06:38","16","0","0","0","0","0"
"F9","09/16/2024","3573","N649FR","SJU","11:13","11:01","239","254","-12","11:35","34","0","0","0","0","0"
"F9","09/17/2024","3571","N616FR","SJU","05:59","05:56","239","231","-3","06:20","24","0","0","0","0","0"
"F9","09/18/2024","3571","N630FR","SJU","05:59","05:49","239","228","-10","06:07","18","0","0","0","0","0"
"F9","09/18/2024","3573","N609FR","SJU","11:13","11:01","239","257","-12","11:32","31","0","0","0","0","0"
"F9","09/19/2024","3571","N609FR","SJU","05:59","06:01","239","244","2","06:25","24","0","0","0","0","0"
"F9","09/20/2024","3571","N630FR","SJU","05:59","05:49","239","228","-10","06:06","17","0","0","0","0","0"
"F9","09/20/2024","3573","N620FR","SJU","11:13","10:58","239","253","-15","11:36","38","0","0","0","0","0"
"F9","09/21/2024","3571","N630FR","SJU","05:59","05:49","239","227","-10","06:13","24","0","0","0","0","0"
"F9","09/21/2024","3573","N642FR","SJU","11:13","11:02","239","245","-11","11:36","34","0","0","0","0","0"
"F9","09/22/2024","3571","N620FR","SJU","05:59","05:55","239","236","-4","06:19","24","0","0","0","0","0"
"F9","09/23/2024","3571","N615FR","SJU","05:59","05:53","239","220","-6","06:17","24","0","0","0","0","0"
"F9","09/23/2024","3573","N614FR","SJU","11:13","11:08","239","229","-5","11:39","31","0","0","0","0","0"
"F9","09/24/2024","3571","N649FR","SJU","05:59","05:59","239","230","0","06:24","25","0","0","0","0","0"
"F9","09/25/2024","3571","N649FR","SJU","05:59","05:44","239","216","-15","06:04","20","0","0","0","0","0"
"F9","09/25/2024","3573","N644FR","SJU","11:13","10:59","239","229","-14","11:23","24","0","0","0","0","0"
"F9","09/26/2024","3571","N644FR","SJU","05:59","05:59","239","227","0","06:21","22","0","0","0","0","0"
"F9","09/27/2024","3571","N646FR","SJU","05:59","06:01","239","226","2","06:27","26","0","0","0","0","0"
"F9","09/27/2024","3573","N615FR","SJU","11:13","11:17","239","255","4","12:00","43","0","0","20","0","0"
"F9","09/28/2024","3571","N631FR","SJU","05:59","05:52","239","233","-7","06:20","28","0","0","0","0","0"
"F9","09/28/2024","3573","N622FR","SJU","11:13","11:07","239","241","-6","11:26","19","0","0","0","0","0"
"F9","09/29/2024","3571","N622FR","SJU","05:59","05:55","239","241","-4","06:36","41","0","0","0","0","0"
